NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001595692,18.0,556.8,546.6,544.5,601.9,120.0,120.0,120.0,120.0,140.0,620.0,5.0,562.45
190001595693,18.0,589.8,631.3,591.4,682.2,160.0,160.0,160.0,170.0,200.0,860.0,4.0,623.675
190001595694,17.0,547.2,599.8,583.2,733.2,120.0,140.0,120.0,120.0,140.0,640.0,5.0,615.85
190001210207,19.0,394.0,531.6,526.2,479.2,100.0,120.0,120.0,120.0,120.0,580.0,4.0,482.75000000000006
190001237827,24.0,554.4,620.0,631.5,693.0,120.0,120.0,120.0,120.0,100.0,580.0,4.0,624.725
190001421575,18.0,362.2,457.0,493.4,375.5,90.0,120.0,100.0,100.0,0.0,400.0,3.0,422.025
190001867765,18.0,481.2,482.1,484.6,441.8,120.0,120.0,120.0,120.0,100.0,580.0,8.0,472.425
190001517236,19.0,405.6,516.1,530.2,592.1,160.0,160.0,140.0,140.0,80.0,680.0,3.0,511.0
190001517237,18.0,502.4,449.4,547.2,465.5,120.0,120.0,120.0,100.0,80.0,540.0,3.0,491.125
190001339056,18.0,444.3,503.0,555.9,444.3,140.0,160.0,160.0,140.0,180.0,780.0,4.0,486.87499999999994
190001493199,26.0,503.9,481.2,517.1,535.9,120.0,120.0,120.0,120.0,40.0,520.0,3.0,509.525
190001595695,17.0,567.2,589.3,571.6,497.2,140.0,140.0,120.0,120.0,120.0,640.0,4.0,556.3249999999999
190001421576,20.0,503.3,450.1,513.0,374.2,90.0,90.0,90.0,90.0,0.0,250.0,4.0,460.15000000000003
190002261354,19.0,580.5,510.9,527.5,663.0,120.0,120.0,100.0,140.0,120.0,600.0,4.0,570.475
190001779803,17.0,517.7,536.7,581.4,648.6,160.0,170.0,170.0,170.0,180.0,920.0,5.0,571.1
190001692715,21.0,474.9,467.7,551.5,665.6,120.0,140.0,140.0,140.0,120.0,660.0,5.0,539.925
190001595696,18.0,532.6,569.6,546.7,578.9,120.0,120.0,100.0,140.0,140.0,620.0,4.0,556.95
190001133224,33.0,402.9,553.5,545.5,389.6,140.0,120.0,120.0,120.0,120.0,620.0,2.0,472.875
190001425176,19.0,421.1,403.6,437.2,393.3,120.0,120.0,120.0,120.0,160.0,640.0,5.0,413.8
190001867767,19.0,406.9,551.9,506.6,545.5,120.0,160.0,120.0,120.0,100.0,620.0,3.0,502.725
190001237829,33.0,555.4,613.8,531.8,627.7,120.0,120.0,100.0,100.0,80.0,520.0,3.0,582.175
190001082479,27.0,500.1,506.6,516.6,505.3,120.0,120.0,100.0,120.0,100.0,560.0,6.0,507.15000000000003
190002037443,20.0,382.5,357.3,484.7,436.2,120.0,100.0,120.0,120.0,0.0,460.0,5.0,415.175
190001237830,20.0,396.5,549.6,547.6,409.3,140.0,120.0,120.0,120.0,60.0,560.0,2.0,475.75
190001692718,17.0,480.6,586.6,535.4,590.4,100.0,160.0,100.0,120.0,100.0,580.0,3.0,548.25
